analyst,row,test_id,labelled_as,actual_identity,identified_as,starch_present,sample_id,date_analyzed,comments
Analyst 26,81.0,T26-J8W0,Benzyl Penicillin,Cellulose,Suspicious,,35930,26/9/2018,
Analyst 26,82.0,T26-4RJH,Benzyl Penicillin,Cellulose,Suspicious,,32790,2018-05-09 00:00:00,
Analyst 26,83.0,T26-CRO6,Benzyl Penicillin,Vitamin C,Suspicious,,35932,27/9/2018,
Analyst 26,84.0,T26-NHPA,Benzyl Penicillin,Vitamin C,Suspicious,,35207,2018-10-08 00:00:00,
Analyst 26,85.0,T26-FIWA,Benzyl Penicillin,Vitamin C,Suspicious,,35933,27/9/2018,
Analyst 26,86.0,T26-12IH,Benzyl Penicillin,Vitamin C,Suspicious,,30277,26/9/2018,
Analyst 26,87.0,T26-UUQR,Benzyl Penicillin,Vitamin C,Suspicious,,35929,26/9/2018,
Analyst 26,88.0,T26-9EPR,Benzyl Penicillin,Vitamin C,Suspicious,,32792,2018-05-09 00:00:00,
Analyst 26,89.0,T26-TPHX,Benzyl Penicillin,Vitamin C,Suspicious,,32791,2018-05-09 00:00:00,
Analyst 26,90.0,T26-CFW9,Benzyl Penicillin,Vitamin C,Suspicious,,30278,26/9/2018,
Analyst 26,91.0,T26-PQ1Y,Penicillin Procaine,Penicillin Procaine,Suspicious,,34345,15/8/2018,
Analyst 26,92.0,T26-LKKF,Penicillin Procaine,Penicillin Procaine,Suspicious,,34850,15/8/2018,
Analyst 26,93.0,T26-3JDU,Penicillin Procaine,Penicillin Procaine,Suspicious,,35322,14/8/2018,
Analyst 26,94.0,T26-Y8C7,Penicillin Procaine,Penicillin Procaine,Suspicious,,35209,14/8/2018,
Analyst 26,95.0,T26-BW0N,Penicillin Procaine,Penicillin Procaine,Suspicious,,35922,25/9/2018,
Analyst 26,96.0,T26-VBG6,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35909,24/9/2018,
Analyst 26,97.0,T26-CXME,Penicillin Procaine,Penicillin Procaine,Suspicious,,35840,24/9/2018,
Analyst 26,98.0,T26-ZD0N,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35844,24/9/2018,
Analyst 26,99.0,T26-NAHZ,Penicillin Procaine,Penicillin Procaine,Suspicious,,35843,24/9/2018,
Analyst 26,100.0,T26-12T8,Penicillin Procaine,Penicillin Procaine,Suspicious,,35211,14/8/2018,
Analyst 26,101.0,T26-6RUT,Penicillin Procaine,Penicillin Procaine,Suspicious,,35920,25/9/2018,
Analyst 26,102.0,T26-R0ZS,Penicillin Procaine,Penicillin Procaine,Suspicious,,35321,14/8/2018,
Analyst 26,103.0,T26-BAGO,Penicillin Procaine,Penicillin Procaine,Suspicious,,34331,16/8/2018,
Analyst 26,104.0,T26-XO9I,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35924,24/9/2018,
Analyst 26,105.0,T26-53JB,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35908,24/9/2018,
Analyst 26,106.0,T26-WNMK,Penicillin Procaine,Benzyl Penicillin,Suspicious,,35842,24/9/2018,
Analyst 26,107.0,T26-BPXR,Penicillin Procaine,Lactose,Suspicious,,35307,2018-10-08 00:00:00,
Analyst 26,108.0,T26-4QI0,Penicillin Procaine,Lactose,Suspicious,,35311,14/8/2018,
Analyst 26,109.0,T26-2MLE,Penicillin Procaine,Lactose,Suspicious,,32796,2018-04-09 00:00:00,
Analyst 26,110.0,T26-6JBH,Penicillin Procaine,Starch,Suspicious,Yes,32794,2018-05-09 00:00:00,
Analyst 26,111.0,T26-A0IT,Penicillin Procaine,Starch,Suspicious,Yes,35923,24/9/2018,
Analyst 26,112.0,T26-SA3R,Penicillin Procaine,Cellulose,Suspicious,,34348,2018-10-08 00:00:00,
Analyst 26,113.0,T26-9Y8J,Penicillin Procaine,Paracetamol Starch,Suspicious,Yes,32795,2018-05-09 00:00:00,
Analyst 26,114.0,T26-2HYH,Penicillin Procaine,Vitamin C,Suspicious,,34347,2018-10-08 00:00:00,
Analyst 26,115.0,T26-FS6Y,Penicillin Procaine,Vitamin C,Suspicious,,35201,2018-09-08 00:00:00,
Analyst 26,116.0,T26-JTLB,Penicillin Procaine,Vitamin C,Suspicious,,35200,2018-09-08 00:00:00,
Analyst 26,117.0,T26-AH2D,Penicillin Procaine,Vitamin C,Suspicious,,35921,24/9/2018,
Analyst 26,118.0,T26-FH4K,Penicillin Procaine,Vitamin C,Suspicious,,35367,2018-09-08 00:00:00,
Analyst 26,119.0,T26-J9LF,Penicillin Procaine,Vitamin C,Suspicious,,35841,25/9/2018,
Analyst 26,120.0,T26-19CX,Penicillin Procaine,Vitamin C,Suspicious,,35206,2018-10-08 00:00:00,
Analyst 26,121.0,T26-5FO5,Quinine ,Quinine ,Quinine,,34328,16/8/2018,
Analyst 26,122.0,T26-0AJB,Quinine ,Quinine ,Quinine,,32523,2018-03-09 00:00:00,
Analyst 26,123.0,T26-Q59D,Quinine ,Quinine ,Quinine,,32958,15/8/2018,
Analyst 26,124.0,T26-R7FW,Quinine ,Quinine ,Quinine,,34351,2018-10-08 00:00:00,
Analyst 26,125.0,T26-G5G4,Quinine ,Quinine ,Quinine,,34350,2018-10-08 00:00:00,
Analyst 26,126.0,T26-V4EY,Quinine ,Quinine ,Quinine,,35208,14/8/2018,
Analyst 26,127.0,T26-5RE8,Quinine ,Quinine ,Quinine,,32799,2018-04-09 00:00:00,
Analyst 26,128.0,T26-GWSP,Quinine ,Quinine ,Quinine,,32806,2018-03-09 00:00:00,
Analyst 26,129.0,T26-655X,Quinine ,Quinine ,Quinine,,35210,14/8/2018,
Analyst 26,130.0,T26-DLV0,Quinine ,Quinine ,Quinine,,32804,2018-03-09 00:00:00,
Analyst 26,131.0,T26-LN1C,Quinine ,Quinine ,Quinine,,31769,2018-09-09 00:00:00,
Analyst 26,132.0,T26-GVZI,Quinine ,Quinine ,Quinine,,34330,16/8/2018,
Analyst 26,133.0,T26-EKLO,Quinine ,Quinine ,Quinine,,35310,14/8/2018,
Analyst 26,134.0,T26-PNKO,Quinine ,Quinine ,Quinine,,35320,14/8/2018,
Analyst 26,135.0,T26-YPVI,Quinine ,Quinine ,Quinine,,32524,2018-03-09 00:00:00,
Analyst 26,136.0,T26-O0B0,Quinine ,Starch,Suspicious,Yes,32956,15/8/2018,
Analyst 26,137.0,T26-BGX3,Quinine ,Vitamin C,Suspicious,,32807,2018-04-09 00:00:00,
Analyst 26,138.0,T26-QNIP,Quinine ,Vitamin C,Suspicious,,35205,2018-11-08 00:00:00,
Analyst 26,139.0,T26-JM6Y,Quinine ,Vitamin C,Suspicious,,32803,2018-04-09 00:00:00,
Analyst 26,140.0,T26-TJ1K,Quinine ,Vitamin C,Suspicious,,32520,2018-04-09 00:00:00,
Analyst 26,141.0,T26-16QK,Quinine ,Vitamin C,Suspicious,,31771,2018-09-09 00:00:00,
Analyst 26,142.0,T26-LO7D,Quinine ,Lactose,Suspicious,,32805,2018-03-09 00:00:00,
Analyst 26,143.0,T26-L111,Quinine ,Lactose,Suspicious,,35306,2018-10-08 00:00:00,
Analyst 26,144.0,T26-KOWG,Quinine ,Paracetamol Starch,Suspicious,Yes,34851,16/8/2018,
Analyst 26,145.0,T26-UILA,Quinine ,Paracetamol Starch,Suspicious,Yes,31773,2018-09-09 00:00:00,
Analyst 26,146.0,T26-BQZT,Quinine ,Cellulose,Suspicious,,35204,2018-10-08 00:00:00,
Analyst 26,147.0,T26-717U,Quinine ,Cellulose,Suspicious,,32521,2018-04-09 00:00:00,
Analyst 26,148.0,T26-Q26S,Quinine ,Cellulose,Suspicious,,35203,2018-09-08 00:00:00,
Analyst 26,149.0,T26-QMSP,Quinine ,Cellulose,Suspicious,,32522,2018-03-09 00:00:00,
Analyst 26,150.0,T26-HK0Y,Quinine ,Cellulose,Suspicious,,31772,2018-09-09 00:00:00,
Analyst 27,1.0,T27-A0TC,Amoxicillin,Amoxicillin,Amoxicillin,,29771,2018-03-09 00:00:00,
Analyst 27,2.0,T27-NIEO,Amoxicillin,Amoxicillin,Amoxicillin,,30128,17/9/2018,
Analyst 27,3.0,T27-QZML,Amoxicillin,Amoxicillin,Amoxicillin,,35857,15/9/2018,
Analyst 27,4.0,T27-P5Y6,Amoxicillin,Amoxicillin,Amoxicillin,,35862,15/9/2018,
Analyst 27,5.0,T27-3IVY,Amoxicillin,Amoxicillin,Amoxicillin,,30078,21/8/2018,
Analyst 27,6.0,T27-027S,Amoxicillin,Amoxicillin,Amoxicillin,,29872,16/9/2018,
Analyst 27,7.0,T27-O7I9,Amoxicillin,Amoxicillin,Amoxicillin,,31737,22/8/2018,
Analyst 27,8.0,T27-GMI0,Amoxicillin,Amoxicillin,Amoxicillin,,30270,21/8/2018,
Analyst 27,9.0,T27-PXGC,Amoxicillin,Amoxicillin,Amoxicillin,,31738,21/8/2018,
Analyst 27,10.0,T27-67FG,Amoxicillin,Amoxicillin,Amoxicillin,,29796,2018-03-09 00:00:00,
Analyst 27,11.0,T27-6UCD,Amoxicillin,Amoxicillin,Amoxicillin,,29795,2018-03-09 00:00:00,
Analyst 27,12.0,T27-1MD5,Amoxicillin,Amoxicillin,Amoxicillin,,35856,15/9/2018,
Analyst 27,13.0,T27-BFPG,Amoxicillin,Amoxicillin,Amoxicillin,,30056,21/8/2018,
Analyst 27,14.0,T27-ZQRW,Amoxicillin,Amoxicillin,Amoxicillin,,36303,2018-04-09 00:00:00,
Analyst 27,15.0,T27-SG7M,Amoxicillin,Amoxicillin,Amoxicillin,,29793,2018-03-09 00:00:00,
Analyst 27,16.0,T27-WZPO,Amoxicillin,Lactose,Suspicious,,29805,2018-03-09 00:00:00,
Analyst 27,17.0,T27-QDTC,Amoxicillin,Starch,Suspicious,Yes,35865,16/9/2018,
Analyst 27,18.0,T27-630D,Amoxicillin,Vitamin C,Suspicious,,31742,21/8/2018,
Analyst 27,19.0,T27-Y5IF,Amoxicillin,Vitamin C,Suspicious,,31945,21/8/2018,
Analyst 27,20.0,T27-LNJW,Amoxicillin,Vitamin C,Suspicious,,31944,21/8/2018,
Analyst 27,21.0,T27-Y9D0,Amoxicillin,Vitamin C,Suspicious,,31741,21/8/2018,
Analyst 27,22.0,T27-JVCM,Amoxicillin,Vitamin C,Suspicious,,29721,17/9/2018,
Analyst 27,23.0,T27-IBIL,Amoxicillin,Vitamin C,Suspicious,,29988,17/9/2018,
Analyst 27,24.0,T27-W747,Amoxicillin,Vitamin C,Suspicious,,31743,21/8/2018,
Analyst 27,25.0,T27-O9F9,Amoxicillin,Vitamin C,Suspicious,,29723,17/9/2018,
Analyst 27,26.0,T27-AMEV,Amoxicillin,Vitamin C,Suspicious,,29987,17/9/2018,
Analyst 27,27.0,T27-6R1Z,Amoxicillin,Vitamin C,Suspicious,,29720,17/9/2018,
Analyst 27,28.0,T27-RC5R,Amoxicillin,Vitamin C,Suspicious,,36328,2018-06-09 00:00:00,
Analyst 27,29.0,T27-EO8U,Amoxicillin,Cellulose,Suspicious,,29722,17/9/2018,
Analyst 27,30.0,T27-CC6G,Amoxicillin,Cellulose,Suspicious,,29991,17/9/2018,
Analyst 27,31.0,T27-RVAM,Paracetamol,Paracetamol,Paracetamol,,35866,16/9/2018,
Analyst 27,32.0,T27-JTNZ,Paracetamol,Paracetamol,Paracetamol,,29919,21/8/2018,
Analyst 27,33.0,T27-8VR4,Paracetamol,Paracetamol,Paracetamol,,35886,16/9/2018,
Analyst 27,34.0,T27-BJLS,Paracetamol,Paracetamol,Paracetamol,,35881,16/9/2018,
Analyst 27,35.0,T27-VHBR,Paracetamol,Paracetamol,Paracetamol,,29876,16/9/2018,
Analyst 27,36.0,T27-62GY,Paracetamol,Paracetamol,Paracetamol,,35859,15/9/2018,
Analyst 27,37.0,T27-6JZW,Paracetamol,Paracetamol,Paracetamol,,35861,15/9/2018,
Analyst 27,38.0,T27-J81S,Paracetamol,Paracetamol,Paracetamol,,35872,16/9/2018,
Analyst 27,39.0,T27-PD84,Paracetamol,Paracetamol,Paracetamol,,35867,16/9/2018,
Analyst 27,40.0,T27-ZANE,Paracetamol,Paracetamol,Paracetamol,,35852,15/9/2018,
Analyst 27,41.0,T27-Y09B,Paracetamol,Paracetamol,Paracetamol,,36334,2018-06-09 00:00:00,
Analyst 27,42.0,T27-POR4,Paracetamol,Paracetamol,Paracetamol,,35875,16/9/2018,
Analyst 27,43.0,T27-W47K,Paracetamol,Paracetamol,Paracetamol,,35880,16/9/2018,
Analyst 27,44.0,T27-H85A,Paracetamol,Paracetamol,Paracetamol,,30079,21/8/2018,
Analyst 27,45.0,T27-81GH,Paracetamol,Paracetamol,Paracetamol,,30124,16/9/2018,
Analyst 27,46.0,T27-ERPF,Paracetamol,Paracetamol,Paracetamol,,29873,16/9/2018,
Analyst 27,47.0,T27-7M92,Paracetamol,Paracetamol,Paracetamol,,29932,21/8/2018,
Analyst 27,48.0,T27-9030,Paracetamol,Lactose,Paracetamol,,35858,15/9/2018,
Analyst 27,49.0,T27-CK59,Paracetamol,Lactose,Paracetamol,,35860,15/9/2018,
Analyst 27,50.0,T27-6AF2,Paracetamol,Lactose,Paracetamol,,30130,16/9/2018,
Analyst 27,51.0,T27-UHF7,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,30121,16/9/2018,
Analyst 27,52.0,T27-23XX,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,30131,16/9/2018,
Analyst 27,53.0,T27-FQII,Paracetamol,Paracetamol Starch,Paracetamol Starch,Yes,30059,21/8/2018,
Analyst 27,54.0,T27-XC5K,Paracetamol,Starch,Paracetamol Starch,Yes,36295,2018-06-09 00:00:00,
Analyst 27,55.0,T27-HVPF,Paracetamol,Vitamin C,Paracetamol,,29727,17/9/2018,
Analyst 27,56.0,T27-U2GC,Paracetamol,Vitamin C,Paracetamol,,29917,21/8/2018,
Analyst 27,57.0,T27-ZU5B,Paracetamol,Vitamin C,Paracetamol,,29726,17/9/2018,
Analyst 27,58.0,T27-V9CG,Paracetamol,Vitamin C,Paracetamol,,36294,2018-06-09 00:00:00,
Analyst 27,59.0,T27-SL47,Paracetamol,Vitamin C,Paracetamol,,30557,24/9/2018,
Analyst 27,60.0,T27-MHOP,Paracetamol,Cellulose,Paracetamol,,29989,17/9/2018,
Analyst 27,61.0,T27-P5NG,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35863,15/9/2018,
Analyst 27,62.0,T27-3R0E,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35853,15/9/2018,
Analyst 27,63.0,T27-KG4H,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,36301,2018-04-09 00:00:00,
Analyst 27,64.0,T27-REHA,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35885,16/9/2018,
Analyst 27,65.0,T27-0R3X,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35519,2018-03-09 00:00:00,
Analyst 27,66.0,T27-VULO,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35528,2018-04-09 00:00:00,
Analyst 27,67.0,T27-CRDS,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35873,16/9/2018,
Analyst 27,68.0,T27-HOR2,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30057,21/8/2018,
Analyst 27,69.0,T27-LX03,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,29933,21/8/2018,
Analyst 27,70.0,T27-9EB4,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,29877,16/9/2018,
Analyst 27,71.0,T27-ALEG,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,31735,22/8/2018,
Analyst 27,72.0,T27-SWHE,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,30271,21/8/2018,
Analyst 27,73.0,T27-C0PR,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35535,2018-04-09 00:00:00,
Analyst 27,74.0,T27-M8Y5,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,35874,16/9/2018,
Analyst 27,75.0,T27-IFHP,Benzyl Penicillin,Benzyl Penicillin,Benzyl Penicillin,,29874,16/9/2018,
Analyst 27,76.0,T27-FYUL,Benzyl Penicillin,Penicillin Procaine,Benzyl Penicillin,,36288,2018-04-09 00:00:00,
Analyst 27,77.0,T27-6Z7T,Benzyl Penicillin,Starch,Suspicious,Yes,35515,2018-03-09 00:00:00,
Analyst 27,78.0,T27-ENI6,Benzyl Penicillin,Starch,Suspicious,Yes,31732,22/8/2018,
Analyst 27,79.0,T27-TIKY,Benzyl Penicillin,Starch,Suspicious,Yes,35884,16/9/2018,
Analyst 27,80.0,T27-SJKC,Benzyl Penicillin,Starch,Suspicious,Yes,35819,16/9/2018,
Analyst 27,81.0,T27-XFIN,Benzyl Penicillin,Vitamin C,Suspicious,,31733,22/8/2018,
Analyst 27,82.0,T27-3ILA,Benzyl Penicillin,Vitamin C,Suspicious,,29990,17/9/2018,
Analyst 27,83.0,T27-UDG9,Benzyl Penicillin,Vitamin C,Suspicious,,36330,2018-06-09 00:00:00,
Analyst 27,84.0,T27-QO1X,Benzyl Penicillin,Vitamin C,Suspicious,,36294,2018-06-09 00:00:00,
Analyst 27,85.0,T27-S66V,Benzyl Penicillin,Vitamin C,Suspicious,,31736,22/8/2018,
Analyst 27,86.0,T27-BBC3,Benzyl Penicillin,Vitamin C,Suspicious,,30129,17/9/2018,
Analyst 27,87.0,T27-HD2Z,Benzyl Penicillin,Lactose,Suspicious,,35530,2018-04-08 00:00:00,
Analyst 27,88.0,T27-NSU8,Benzyl Penicillin,Paracetamol Starch,Suspicious,Yes,35882,16/9/2018,
Analyst 27,89.0,T27-126P,Benzyl Penicillin,Paracetamol Starch,Suspicious,Yes,30120,16/9/2018,
Analyst 27,90.0,T27-0L95,Benzyl Penicillin,Paracetamol Starch,Suspicious,Yes,35534,2018-04-09 00:00:00,
Analyst 27,91.0,T27-N3HL,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,30269,21/8/2018,
Analyst 27,92.0,T27-ZXHZ,Penicillin Procaine,Penicillin Procaine,Suspicious,,35517,2018-04-09 00:00:00,
Analyst 27,93.0,T27-98OW,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,30266,21/8/2018,
Analyst 27,94.0,T27-108H,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,36290,2018-04-09 00:00:00,
Analyst 27,95.0,T27-CQF3,Penicillin Procaine,Penicillin Procaine,Suspicious,,29794,2018-03-09 00:00:00,
Analyst 27,96.0,T27-EXHK,Penicillin Procaine,Penicillin Procaine,Suspicious,,29804,2018-03-09 00:00:00,
Analyst 27,97.0,T27-CS60,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,29935,20/8/2018,
Analyst 27,98.0,T27-9EJ7,Penicillin Procaine,Penicillin Procaine,Suspicious,,36332,2018-04-09 00:00:00,
Analyst 27,99.0,T27-5N67,Penicillin Procaine,Penicillin Procaine,Suspicious,,35514,2018-03-09 00:00:00,
Analyst 27,100.0,T27-9XCB,Penicillin Procaine,Penicillin Procaine,Suspicious,,35513,2018-03-09 00:00:00,
Analyst 27,101.0,T27-DMVO,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35531,2018-04-09 00:00:00,
Analyst 27,102.0,T27-IQL2,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,31730,22/8/2018,
Analyst 27,103.0,T27-HMHY,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,30014,20/8/2018,
Analyst 27,104.0,T27-T6MK,Penicillin Procaine,Penicillin Procaine,Penicillin Procaine,,35883,16/9/2018,
Analyst 27,105.0,T27-GIO3,Penicillin Procaine,Penicillin Procaine,Suspicious,,29934,21/8/2018,
Analyst 27,106.0,T27-8L5D,Penicillin Procaine,Benzyl Penicillin,Suspicious,,36323,2018-04-09 00:00:00,
Analyst 27,107.0,T27-XLID,Penicillin Procaine,Benzyl Penicillin,Suspicious,,35529,2018-04-09 00:00:00,
Analyst 27,108.0,T27-CHJ4,Penicillin Procaine,Starch,Suspicious,Yes,30012,20/8/2018,Starch is present
Analyst 27,109.0,T27-4S0M,Penicillin Procaine,Starch,Suspicious,Yes,30013,20/8/2018,Starch is present
Analyst 27,110.0,T27-EO8K,Penicillin Procaine,Cellulose,Suspicious,,31728,22/8/2018,
Analyst 27,111.0,T27-5QPR,Penicillin Procaine,Cellulose,Suspicious,,31739,21/8/2018,
Analyst 27,112.0,T27-8849,Penicillin Procaine,Lactose,Suspicious,,36302,2018-04-09 00:00:00,
Analyst 27,113.0,T27-VYR9,Penicillin Procaine,Vitamin C,Suspicious,,36329,2018-06-09 00:00:00,
Analyst 27,114.0,T27-LWUC,Penicillin Procaine,Vitamin C,Suspicious,,31740,21/8/2018,
Analyst 27,115.0,T27-P4W2,Penicillin Procaine,Vitamin C,Suspicious,,31731,22/8/2018,
Analyst 27,116.0,T27-0NA9,Penicillin Procaine,Vitamin C,Suspicious,,30058,21/8/2018,
Analyst 27,117.0,T27-PNWR,Penicillin Procaine,Vitamin C,Suspicious,,29916,21/8/2018,
Analyst 27,118.0,T27-PAKN,Penicillin Procaine,Vitamin C,Suspicious,,30268,21/8/2018,
Analyst 27,119.0,T27-VJLW,Penicillin Procaine,Vitamin C,Suspicious,,29986,17/9/2018,
Analyst 27,120.0,T27-3NNX,Penicillin Procaine,Vitamin C,Suspicious,,36335,2018-06-09 00:00:00,
Analyst 27,121.0,T27-RQ7X,Quinine ,Quinine ,Quinine,,35516,2018-04-09 00:00:00,
Analyst 27,122.0,T27-1LNJ,Quinine ,Quinine ,Quinine,,36322,2018-04-09 00:00:00,
Analyst 27,123.0,T27-77KV,Quinine ,Quinine ,Quinine,,29770,2018-03-09 00:00:00,
Analyst 27,124.0,T27-Q4CE,Quinine ,Quinine ,Quinine,,35532,2018-03-09 00:00:00,
Analyst 27,125.0,T27-EQTD,Quinine ,Quinine ,Quinine,,30077,20/8/2018,
Analyst 27,126.0,T27-QBMB,Quinine ,Quinine ,Quinine,,29851,20/8/2018,
Analyst 27,127.0,T27-5MYP,Quinine ,Quinine ,Quinine,,36321,2018-04-09 00:00:00,
Analyst 27,128.0,T27-F7Q8,Quinine ,Quinine ,Quinine,,36333,2018-06-09 00:00:00,
Analyst 27,129.0,T27-P5BW,Quinine ,Quinine ,Quinine,,29792,2018-03-09 00:00:00,
Analyst 27,130.0,T27-8TE5,Quinine ,Quinine ,Quinine,,35533,2018-03-09 00:00:00,
Analyst 27,131.0,T27-DXIP,Quinine ,Quinine ,Quinine,,35512,2018-03-09 00:00:00,
Analyst 27,132.0,T27-T17H,Quinine ,Quinine ,Quinine,,36289,2018-04-09 00:00:00,
Analyst 27,133.0,T27-YIDQ,Quinine ,Quinine ,Quinine,,36327,2018-04-09 00:00:00,
Analyst 27,134.0,T27-L5IQ,Quinine ,Quinine ,Quinine,,30076,20/8/2018,
Analyst 27,135.0,T27-G7WC,Quinine ,Quinine ,Quinine,,29738,20/8/2018,
Analyst 27,136.0,T27-7R9H,Quinine ,Quinine ,Quinine,,35518,2018-04-09 00:00:00,
Analyst 27,137.0,T27-5X4L,Quinine ,Lactose,Suspicious,,29739,20/8/2018,
Analyst 27,138.0,T27-RF5O,Quinine ,Vitamin C,Suspicious,,31734,22/8/2018,
Analyst 27,139.0,T27-V46F,Quinine ,Vitamin C,Suspicious,,31724,22/8/2018,
Analyst 27,140.0,T27-XNA8,Quinine ,Vitamin C,Suspicious,,29918,21/8/2018,
Analyst 27,141.0,T27-87VE,Quinine ,Vitamin C,Suspicious,,31946,22/8/2018,
Analyst 27,142.0,T27-QTCN,Quinine ,Paracetamol Starch,Suspicious,Yes,29349,20/8/2018,Starch is present
Analyst 27,143.0,T27-YXZO,Quinine ,Paracetamol Starch,Suspicious,Yes,29848,20/8/2018,Starch is present
Analyst 27,144.0,T27-6W8M,Quinine ,Paracetamol Starch,Suspicious,Yes,36320,2018-04-09 00:00:00,
Analyst 27,145.0,T27-JVCS,Quinine ,Starch,Suspicious,Yes,36326,2018-04-09 00:00:00,
Analyst 27,146.0,T27-SCQR,Quinine ,Starch,Suspicious,Yes,29850,20/8/2018,Starch is present
Analyst 27,147.0,T27-GTFU,Quinine ,Cellulose,Suspicious,,30267,21/8/2018,
Analyst 27,148.0,T27-FTOQ,Quinine ,Cellulose,Suspicious,,36292,2018-06-09 00:00:00,
Analyst 27,149.0,T27-XBAR,Quinine ,Cellulose,Suspicious,,36300,2018-06-09 00:00:00,
Analyst 27,150.0,T27-6MZO,Quinine ,Cellulose,Suspicious,,30331,2018-06-09 00:00:00,
Analyst 28,1.0,T28-6I29,Amoxicillin,Amoxicillin,Amoxicillin,,35197,2018-07-09 00:00:00,
Analyst 28,2.0,T28-KYE2,Amoxicillin,Amoxicillin,Amoxicillin,,35266,2018-07-09 00:00:00,
Analyst 28,3.0,T28-NNJQ,Amoxicillin,Amoxicillin,Amoxicillin,,35267,2018-07-09 00:00:00,
Analyst 28,4.0,T28-DUWC,Amoxicillin,Amoxicillin,Amoxicillin,,35196,2018-07-09 00:00:00,
Analyst 28,5.0,T28-SU2V,Amoxicillin,Amoxicillin,Amoxicillin,,35272,2018-07-09 00:00:00,
Analyst 28,6.0,T28-POMQ,Amoxicillin,Amoxicillin,Amoxicillin,,35302,2018-05-09 00:00:00,
Analyst 28,7.0,T28-J1FU,Amoxicillin,Amoxicillin,Amoxicillin,,35265,2018-07-09 00:00:00,
Analyst 28,8.0,T28-BUKE,Amoxicillin,Amoxicillin,Amoxicillin,,35195,2018-07-09 00:00:00,
Analyst 28,9.0,T28-C64D,Amoxicillin,Amoxicillin,Amoxicillin,,31912,14/8/2018,
Analyst 28,10.0,T28-D5VI,Amoxicillin,Amoxicillin,Amoxicillin,,35274,2018-07-09 00:00:00,
Analyst 28,11.0,T28-1TTC,Amoxicillin,Amoxicillin,Amoxicillin,,34365,2018-08-09 00:00:00,
Analyst 28,12.0,T28-T5R9,Amoxicillin,Amoxicillin,Amoxicillin,,35269,2018-07-09 00:00:00,
Analyst 28,13.0,T28-4HTJ,Amoxicillin,Amoxicillin,Amoxicillin,,32299,2018-12-08 00:00:00,
Analyst 28,14.0,T28-CD5Z,Amoxicillin,Amoxicillin,Amoxicillin,,35303,2018-05-09 00:00:00,
Analyst 28,15.0,T28-F44P,Amoxicillin,Amoxicillin,Amoxicillin,,34366,2018-08-09 00:00:00,
Analyst 28,16.0,T28-CYDH,Amoxicillin,Paracetamol Starch,Suspicious,Yes,35264,2018-07-09 00:00:00,
Analyst 28,17.0,T28-YEDM,Amoxicillin,Starch,Suspicious,Yes,35273,2018-07-09 00:00:00,
Analyst 28,18.0,T28-CBGR,Amoxicillin,Starch,Suspicious,Yes,35268,2018-07-09 00:00:00,
Analyst 28,19.0,T28-DHUW,Amoxicillin,Starch,Suspicious,Yes,35270,2018-07-09 00:00:00,
Analyst 28,20.0,T28-H23F,Amoxicillin,Lactose,Suspicious,,35493,2018-12-08 00:00:00,
Analyst 28,21.0,T28-YN2R,Amoxicillin,Cellulose,Suspicious,,35291,2018-07-09 00:00:00,
Analyst 28,22.0,T28-PKGM,Amoxicillin,Cellulose,Suspicious,,35194,2018-07-09 00:00:00,
Analyst 28,23.0,T28-WP5O,Amoxicillin,Vitamin C,Suspicious,,35292,2018-07-09 00:00:00,
Analyst 28,24.0,T28-F6VU,Amoxicillin,Vitamin C,Suspicious,,32040,15/8/2018,
Analyst 28,25.0,T28-1HAN,Amoxicillin,Vitamin C,Suspicious,,35290,2018-07-09 00:00:00,
Analyst 28,26.0,T28-22VM,Amoxicillin,Vitamin C,Suspicious,,31941,2018-05-09 00:00:00,
